rank,price,goods_url,name,brand,score,point,img_url,questions
#11,['$26.00'],https://www.amazon.com/Roku-Premiere-HDR-Streaming-Player-Premium/dp/B07HDBZN7Q/ref=zg_bs_electronics_11/136-0121234-9338138?_encoding=UTF8&psc=1&refRID=3PW5VJ2SB1ZN20XFTVAJ,"Roku Premiere | HD/4K/HDR Streaming Media Player, Simple Remote and Premium HDMI Cable",Visit the Roku Store,4.7 out of 5 stars,"['New! Peacock is now streaming on all Roku devices', 'Incredible picture, incredible value: Experience your favorite TV in stunning detail and clarity—whether you’re streaming in HD, 4K, or HDR, you’ll enjoy picture quality that’s optimized for your TV with sharp resolution and vivid color', 'Tons of power, tons of fun: Snappy and responsive, you’ll stream your favorites with ease—from movies and series on Apple TV, Prime Video, and Netflix, to cable alternatives like Sling, enjoy the most talked-about TV across thousands of channels', 'Setup is a cinch: Plug it in with the included Premium High Speed HDMI Cable, connect to the internet, and start streaming—it’s that simple', 'Simple remote: It’s got everything you need to start streaming, plus shortcut buttons to popular streaming channels', 'Automatic software updates: Get the most up-to-date software and new features without even thinking about it', 'Private listening on mobile: Use the free Roku mobile app to pump up the volume on your shows without disturbing the house', 'Endless entertainment: Stream what you love, including free TV, live news, sports, and more; Never miss the most talked-about events, award-winning shows, latest blockbuster hits, and more—It’s easy to stream what you love and cut back on cable bills']",https://images-na.ssl-images-amazon.com/images/I/81wHpn6wPLL._AC_SY355_.jpg,1000+ answered questions
#12,['$13.38'],https://www.amazon.com/Fujifilm-INSTAX-Instant-Twin-Pack/dp/B00EB4ADQW/ref=zg_bs_electronics_12/136-0121234-9338138?_encoding=UTF8&psc=1&refRID=3PW5VJ2SB1ZN20XFTVAJ,Fujifilm Instax Mini Instant Film Twin Pack (White),Visit the Fujifilm Store,4.8 out of 5 stars,"['', 'Designed for use with Instax Mini line of cameras; Works well in low light', 'Develops instantly: Press the shutter, capture the moment, and watch the photo slide out and the image develop in front of your eyes; Hi speed ISO 800 with superb grain quality, Instax Mini Film ensure vibrant color and natural skin tones', 'Credit card size 5.4 x 8.6 centimeter (film size): The unique credit card sized film is easy to carry in your purse or wallet and has that classic white frame that you can leave blank or personalize with fun messages', 'Easy to load cartridge film cartridge is designed and labeled for easy loading and filled with film for 10 credit card sized instant prints; Store in cool and dry conditions']",https://images-na.ssl-images-amazon.com/images/I/51vROAC-l%2BL._AC_.jpg,589 answered questions
#13,"['$129.99', '$179.99']",https://www.amazon.com/Kindle-Paperwhite-Waterproof-Unlimited-auto-renewal/dp/B07PP49ZDW/ref=zg_bs_electronics_13/136-0121234-9338138?_encoding=UTF8&psc=1&refRID=3PW5VJ2SB1ZN20XFTVAJ,Kindle Paperwhite – Now Waterproof with more than 2x the Storage – Ad-Supported + Kindle Unlimited (with auto-renewal),Brand: Amazon,4.6 out of 5 stars,"['Now available in Black, Twilight Blue, Plum, or Sage', 'The thinnest, lightest Kindle Paperwhite yet—with a flush-front design and 300 ppi glare-free display that reads like real paper even in bright sunlight.', 'Now waterproof, so you’re free to read and relax at the beach, by the pool, or in the bath.', 'Enjoy twice the storage with 8 GB. Or choose 32 GB to hold more magazines, comics, and audiobooks.', 'Now with Audible. Pair with Bluetooth headphones or speakers to listen to your story.', 'A single battery charge lasts weeks, not hours.', 'The built-in adjustable light lets you read indoors and outdoors, day and night.']",https://images-na.ssl-images-amazon.com/images/I/81ynDO7rrbL._AC_SY450_.jpg,1000+ answered questions
#14,['$20.00'],https://www.amazon.com/Roku-Express-Streaming-Media-Player/dp/B07WVFCVJN/ref=zg_bs_electronics_14/136-0121234-9338138?_encoding=UTF8&psc=1&refRID=3PW5VJ2SB1ZN20XFTVAJ,Roku Express HD Streaming Media Player,Visit the Roku Store,4.8 out of 5 stars,"['New! Peacock is now streaming on all Roku devices', 'Streaming made easy: Roku express lets you stream free, live and premium TV over the internet right to your TV; it’s perfect for new users, secondary TVs and easy gifting but powerful enough for seasoned pros', 'Quick and easy setup: just plug it into your TV with the included high speed HDMI cable and connect to the internet to get started', 'Tons of power, tons of fun: compact and power-packed, you’ll stream your favorites with ease; from movies and series on apple TV, prime video, Netflix, Disney+, the Roku channel, HBO, show time and google play to cable alternative like Hulu with live TV, enjoy the most talked about TV Across free and paid channels', 'Low cost, no extra fees: for under Dollar 30, Roku express streaming device includes a high speed HDMI cable and there’s no monthly equipment fee; with access to free TV on hundreds of channels, there’s plenty to stream without spending extra', 'Simple remote: Incredibly easy to use, this remote features shortcut buttons to popular streaming channels', 'Endless entertainment: stream it all, including free TV, live news, sports, and more; never miss award-winning shows, the latest blockbuster hits, and more; access 500, 000+ movies and TV episodes; stream what you love and cut back on cable TV bills']",https://images-na.ssl-images-amazon.com/images/I/81%2B0dqbDGWL._AC_SY355_.jpg,1000+ answered questions
#15,"['$82.97', '$102.97']",https://www.amazon.com/Fire-Tablet-7/dp/B07FKR6KXF/ref=zg_bs_electronics_15/136-0121234-9338138?_encoding=UTF8&psc=1&refRID=3PW5VJ2SB1ZN20XFTVAJ,"Fire 7 tablet (7"" display, 16 GB) - Black",Brand: Amazon,4.4 out of 5 stars,"['7"" IPS display; 16 or 32 GB of internal storage (add up to 512 GB with microSD)', 'Faster 1.3 GHz quad-core processor', 'Up to 7 hours of reading, browsing the web, watching video, and listening to music', 'Hands-free with Alexa, including on/off toggle', '1 GB of RAM', '2 MP front and rear-facing cameras with 720p HD video recording', 'Dual-band Wi-Fi']",https://images-na.ssl-images-amazon.com/images/I/51BndIXGZYL._AC_SY355_.jpg,1000+ answered questions
#16,['$37.83'],https://www.amazon.com/Fujifilm-Instax-Instant-Sheets%C3%975-Shoots/dp/B015IY34FA/ref=zg_bs_electronics_16/136-0121234-9338138?_encoding=UTF8&psc=1&refRID=3PW5VJ2SB1ZN20XFTVAJ,"Fujifilm Instax Mini Instant Film, 10 Sheets×5 Pack(Total 50 Shoots)",Visit the Fujifilm Store,4.8 out of 5 stars,"['', 'Designed for use with Fujifilm Instax Mini Series cameras', 'Picture size: 62mm x 46mm', 'Film size: 86mm x 54mm', 'Excellent sharpness', '10 pictures per pack']",https://images-na.ssl-images-amazon.com/images/I/510gNC8PV8L._AC_SX450_.jpg,113 answered questions
#17,['$7.95'],https://www.amazon.com/Protector-Transparent-Anti-Scratch-Compatible-Replacement-3ds/dp/B0795GHTBC/ref=zg_bs_electronics_17/136-0121234-9338138?_encoding=UTF8&psc=1&refRID=3PW5VJ2SB1ZN20XFTVAJ,"[3 Pack] Screen Protector Tempered Glass for Nintendo Switch, iVoler Transparent HD Clear Anti-Scratch Screen Protector Compatible Nintendo Switch",Brand: ivoler,4.8 out of 5 stars,"['', 'Specifically designed for Nintendo Switch 2017 and Switch New Model HAC-001(-01).', 'Ultra-clear High Definition with 99.9% transparency to allow an optimal, natural viewing experience', 'Ultra thin-0.3mm thickness is reliable and resilient, and promises full compatibility with touchscreen sensitivity', 'Highly durable, and scratch resistant - surface hardness 9H and topped with oleophobic coating to reduce fingerprints.', 'Includes: 3x GLASS Screen Protector, Dry&Wet Wipes,Squeeze Card,Easy Installation Use Guide.']",https://images-na.ssl-images-amazon.com/images/I/51BuQP4JjTL._AC_SX355_.jpg,36 answered questions
#18,"['$19.99', '$64.98']",https://www.amazon.com/Echo-Auto-Add-Alexa-your/dp/B07VTK654B/ref=zg_bs_electronics_18/136-0121234-9338138?_encoding=UTF8&psc=1&refRID=3PW5VJ2SB1ZN20XFTVAJ,Echo Auto- Hands-free Alexa in your car with your phone,Brand: Amazon,3.9 out of 5 stars,"['Add Alexa to your car - Connects to the Alexa app on your phone and plays through your car’s speakers via auxiliary input or your smartphone’s Bluetooth connection. Includes Vent Mount.', 'Designed for the road - With 8 microphones and far-field technology, Echo Auto can hear you over music, A/C, and road noise.', 'Go beyond radio - Voice control Echo Auto through the Alexa app to stream from Audible, Amazon Music, Apple Music, Spotify, SiriusXM, and radio stations with TuneIn and iHeartRadio.', 'Just ask - Use your voice to play music, check the news, make calls, add to your to do-list, set reminders, pay for gas, and more.', ""Do More with Auto Mode – Turn your phone into a driver-friendly display that complements your Echo Auto. See what's playing and save time with easy-touch shortcuts to your favorite places, people, and content."", 'Designed for your privacy - You can press the microphone off button to electronically disconnect the microphones.', 'Check for compatibility – Echo Auto is not compatible with all cars and phones. See if it will work for you below.']",https://images-na.ssl-images-amazon.com/images/I/61I1cI2mSgL._AC_SX425_.jpg,1000+ answered questions
#19,"['$29.99', '$79.99']",https://www.amazon.com/Ring-Rechargeable-Battery-Pack/dp/B076JKHDQT/ref=zg_bs_electronics_19/136-0121234-9338138?_encoding=UTF8&psc=1&refRID=3PW5VJ2SB1ZN20XFTVAJ,Ring Rechargeable Battery Pack,Brand: Ring,4.8 out of 5 stars,"['Works with Ring Video Doorbell, Peephole Cam, Stick Up Cam Battery (2nd and 3rd Gen), Spotlight Cam Battery, and Solar Floodlight', 'Powers your device for up to six months depending on motion and light settings', 'Includes a quick-release tab to easily charge the battery without moving the device']",https://images-na.ssl-images-amazon.com/images/I/71hP6o06gdL._SY355_.jpg,447 answered questions
#20,['$58.99'],https://www.amazon.com/Nintendo-Switch-Pro-Controller/dp/B01NAWKYZ0/ref=zg_bs_electronics_20/136-0121234-9338138?_encoding=UTF8&psc=1&refRID=3PW5VJ2SB1ZN20XFTVAJ,Nintendo Switch Pro Controller,Visit the Nintendo Store,4.9 out of 5 stars,"['Take your game sessions up a notch with the Nintendo Switch Pro Controller', 'Handheld Nintendo Switch gaming at a great price', 'Comes with charging cable (USB C to USB A)']",https://images-na.ssl-images-amazon.com/images/I/61drpi3cYUL._SX342_.jpg,
#21,['$18.91'],https://www.amazon.com/Orzly-Carry-Case-Compatible-Nintendo-Switch/dp/B01NAUKS62/ref=zg_bs_electronics_21/136-0121234-9338138?_encoding=UTF8&psc=1&refRID=3PW5VJ2SB1ZN20XFTVAJ,Orzly Carry Case Compatible with Nintendo Switch - Black Protective Hard Portable Travel Carry Case Shell Pouch for Nintendo Switch Console & Accessories,Visit the Orzly Store,4.8 out of 5 stars,"['Designed to make your new Nintendo Switch Console even more portable & travel friendly', 'Fits the Nintendo Switch tablet with both its Joy-Con controllers attached to it, and the upper section features a separate inner pocket which can fit extra JoyCons, Cables, Games, and other smaller but essential accessories. (Please note this cannot accommodate larger items like the dock or pro-controllers)', 'Hard EVA shell keeps your device protected while the soft inner material keeps your device free from scratches', 'Perfect carry case for keeping your Nintendo Switch securely stored when travelling or when not in use', ""Designed specifically for the Nintendo Switch. For our full range of Nintendo Switch accessories, search 'ORZLY SWITCH' in the Amazon search bar (above)""]",https://images-na.ssl-images-amazon.com/images/I/71%2BwvccA3ML._SX342_.jpg,
#22,"['$109.98', '$182.96']",https://www.amazon.com/Fire-HD-8-tablet/dp/B07TMJ1R3X/ref=zg_bs_electronics_22/136-0121234-9338138?_encoding=UTF8&psc=1&refRID=3PW5VJ2SB1ZN20XFTVAJ,"Fire HD 8 tablet, 8"" HD display, 32 GB, designed for portable entertainment, Black",Brand: Amazon,4.6 out of 5 stars,"['8"" HD display, 2X the storage (32 or 64 GB of internal storage and up to 1 TB with microSD card) + 2 GB RAM.', 'All-day battery life - Up to 12 hours of reading, browsing the web, watching videos, and listening to music.', 'Now with USB-C for easier charging. Fully charges in under 5 hours (with included cable + adapter).', '30% faster thanks to the new 2.0 GHz quad-core processor.', 'Enjoy your favorite apps like Netflix, Facebook, Hulu, Instagram, TikTok, and more through Amazon’s Appstore (Google Play not supported).', 'Introducing Game Mode - A distraction-free and optimized gaming experience.', 'Hands-free with Alexa, including on/off toggle.']",https://images-na.ssl-images-amazon.com/images/I/61i5aMuVN8L._AC_SY450_.jpg,1000+ answered questions
#23,['$169.00'],https://www.amazon.com/Apple-Watch-GPS-38mm-Space-Aluminium/dp/B07K39FRSL/ref=zg_bs_electronics_23/136-0121234-9338138?_encoding=UTF8&psc=1&refRID=3PW5VJ2SB1ZN20XFTVAJ,"Apple Watch Series 3 (GPS, 38mm) - Space Gray Aluminium Case with Black Sport Band",Visit the Apple Store,4.8 out of 5 stars,"['GPS', 'Retina display', 'Swimproof', 'Optical heart sensor', 'Stores music, podcasts, and audiobooks', 'Elevation', 'Emergency SOS']",https://images-na.ssl-images-amazon.com/images/I/71fwbMm1NBL._AC_SX342_.jpg,1000+ answered questions
#24,['$7.06'],https://www.amazon.com/Fujifilm-Instax-Mini-Rainbow-Film/dp/B00DUNYW7G/ref=zg_bs_electronics_24/136-0121234-9338138?_encoding=UTF8&psc=1&refRID=3PW5VJ2SB1ZN20XFTVAJ,Fujifilm Instax Mini Rainbow Film - 10 Exposures,Visit the Fujifilm Store,4.8 out of 5 stars,"['', 'Designed for use with Instax Mini line of cameras', 'Develops Instantly - Press the shutter, capture the moment, and watch the photo slide out and the image develop in front of your eyes!', 'Hi-Speed ISO 800 - With superb grain quality, Instax Rainbow Film ensure vibrant color and natural skin tones.', 'Credit-card size - 5.4 cm x 8.6 cm (film size) - The unique credit-card sized film is easy to carry in your purse or wallet and has different color borders to add style to your images.', 'Easy-to-Load Cartridge - Film cartridge is designed and labeled for easy loading and filled with film for 10 credit-card sized instant prints.', 'Highly Stable – The film emulsion performs at temperatures as low as 5 Celsius and as high as 40 Celsius']",https://images-na.ssl-images-amazon.com/images/I/51-QdEuTdOL._AC_.jpg,36 answered questions
#25,['$99.99'],https://www.amazon.com/Blink-Outdoor-Wireless-Security-Camera/dp/B086DKSYTS/ref=zg_bs_electronics_25/136-0121234-9338138?_encoding=UTF8&psc=1&refRID=3PW5VJ2SB1ZN20XFTVAJ,"All-new Blink Outdoor – wireless, weather-resistant HD security camera with two-year battery life and motion detection – 1 camera kit",Brand: Blink Home Security,4.4 out of 5 stars,"['Blink Outdoor is a wireless battery-powered HD security camera that helps you monitor your home day or night with infrared night vision.', 'With long-lasting battery life, Outdoor runs for up to two years on two AA lithium batteries (included).', 'Outdoor is built to withstand the elements to help you protect your home inside or out, come rain or shine.', 'Get motion detection alerts on your phone with the option to customize motion zones in the Blink Home Monitor app so you’re only alerted when you need to be.', 'See, hear, and speak to visitors with live view in real time and two-way audio features on your Blink app.', 'Designed so you can set up yourself in minutes. No wiring, no professional installation required.', 'Works with Alexa – use your voice to monitor your home through supported Alexa-enabled devices.', 'Store video clips and photos in the cloud with the Blink Subscription Plan and save events locally to the Blink Sync Module 2 via a USB flash drive (sold separately).']",https://images-na.ssl-images-amazon.com/images/I/61dymHa0ECL._SY355_.jpg,1000+ answered questions
#26,['$79.00'],https://www.amazon.com/Roku-Streaming-Bluetooth-Headphone-Shortcuts/dp/B08G9TJWW9/ref=zg_bs_electronics_26/136-0121234-9338138?_encoding=UTF8&psc=1&refRID=3PW5VJ2SB1ZN20XFTVAJ,"Roku Ultra 2020 | Streaming Media Player HD/4K/HDR/Dolby Vision with Dolby Atmos, Bluetooth Streaming, and Roku Voice Remote with Headphone Jack and Personal Shortcuts, includes Premium HDMI Cable",Visit the Roku Store,4.6 out of 5 stars,"['Share videos, photos, and music from your Apple device using AirPlay.', 'Power & Performance: Roku Ultra is our fastest and most powerful player ever; Loaded with a new and improved quad-core processor, you’ll enjoy channels that launch in a snap and a responsive interface—it’s great for cutting cable and people who love to stream', 'Our best wireless: Enjoy our smoothest TV streaming experience, even in rooms further from your router, now with up to 50% more range—you also have the choice to wire up over Ethernet if you want', 'Cinematic streaming: The centerpiece of any home theater, experience spectacular color, contrast, and brightness with Dolby Vision on compatible TVs. Plus, hear three-dimensional audio that soars above and around you with a Dolby Atmos compatible sound system.', 'Take control of your TV: Use your voice to set personal shortcuts for one-touch control, search across channels, turn captions on, and more with the Roku voice remote—plus, control your TV and enjoy private listening with the included headphones', 'Lost remote finder: Simply press the button on your streaming device and your Roku remote will play a sound so you can quickly find it', 'Bluetooth streaming: Cast your favorite music, podcasts, and more to your TV with a connected Bluetooth streaming device']",https://images-na.ssl-images-amazon.com/images/I/81Jc5Hf41JL._AC_SX425_.jpg,233 answered questions
